[0.01,0]
[0.0335,0]
[0.079635,0]
[0.166723,0.0535938]
[0.33006,0.0963937]
[0.33006,0.11691]
[0.365964,0.11691]
[0.365964,0.148326]
[0.420941,0.203303]
[0.500733,0.23499]
[0.479687,0.23499]
[0.498102,0.253405]
[0.523673,0.278975]
[0.552216,0.307519]
[0.576121,0.331424]
[0.59246,0.35316]
[0.61419,0.378949]
[0.636295,0.404409]
[0.656404,0.431188]
[0.679693,0.46115]
[0.705329,0.49967]
[0.741215,0.551157]
[0.789016,0.623976]
[0.851633,0.72325]
[0.851633,0.726496]
[0.853053,0.727916]
[0.854907,0.731012]
[0.858112,0.736001]
[0.863176,0.744834]
[0.87239,0.760598]
[0.889273,0.790729]
[0.924769,0.855351]
[0.925327,0.855909]
[0.925512,0.856094]
[0.925935,0.857371]
[0.926308,0.857744]
[0.926501,0.858591]
[0.927073,0.859163]
[0.927073,0.859663]
[0.927511,0.860101]
[0.928307,0.861664]
[0.930234,0.865123]
[0.934472,0.873318]
[0.944725,0.892116]
[0.970213,0.942145]
[0.970213,0.940572]
[0.970213,0.941948]
[0.970213,0.940744]
[0.970213,0.941798]
[0.970213,0.940876]
[0.970213,0.941682]
[0.970213,0.940977]
[0.970213,0.941594]
[0.970213,0.941054]
[0.970213,0.941527]
[0.970213,0.941113]
[0.970213,0.941475]
[0.970529,0.941792]
[0.970765,0.942582]
[0.971008,0.942824]
[0.971186,0.943215]
[0.971517,0.943717]
[0.971811,0.94449]
[0.972384,0.945532]
[0.973002,0.946779]
[0.973953,0.948478]
[0.975194,0.951075]
[0.977308,0.955136]
[0.980647,0.961695]
[0.986511,0.973153]
[0.997603,0.995155]
[0.997603,0.995253]
[0.997646,0.995296]
[0.997655,0.995305]
[0.99767,0.995336]
[0.997694,0.995395]
[0.997751,0.995504]
[0.997868,0.995748]
[0.998168,0.996335]
[0.99891,0.99785]
[0.99891,0.997791]
[0.99891,0.997843]
[0.998932,0.997865]
[0.998937,0.99787]
[0.998946,0.997888]
[0.998963,0.997929]
[0.999013,0.998032]
[0.999143,0.998287]
[0.999484,0.998972]
[1.00046,1.0009]
[1.00046,1.00093]
[1.00046,1.00091]
[1.00046,1.00093]
[1.00046,1.00091]
[1.00046,1.00093]
[1.00046,1.00091]
[1.00046,1.00092]
[1.00046,1.00091]
[1.00046,1.00092]
[1.00046,1.00091]
[1.00046,1.00092]
[1.00046,1.00091]
[1.00046,1.00092]
[1.00046,1.00092]
[1.00046,1.00092]
[1.00046,1.00092]
[1.00046,1.00091]
[1.00045,1.0009]
[1.00045,1.0009]
[1.00045,1.0009]
[1.00045,1.00089]
[1.00044,1.00089]
[1.00044,1.00088]
[1.00044,1.00088]
[1.00043,1.00087]
[1.00043,1.00085]
[1.00042,1.00084]
[1.00042,1.00083]
[1.00042,1.00084]
[1.00042,1.00083]
[1.00042,1.00084]
[1.00042,1.00084]
[1.00041,1.00083]
[1.00041,1.00082]
[1.00041,1.00082]
[1.00041,1.00082]
[1.00041,1.00081]
[1.0004,1.00081]
[1.0004,1.00081]
[1.0004,1.0008]
[1.0004,1.00081]
[1.0004,1.0008]
[1.0004,1.0008]
[1.0004,1.00079]
[1.00039,1.00079]
[1.00039,1.00078]
[1.00039,1.00078]
[1.00039,1.00077]
[1.00039,1.00077]
[1.00039,1.00077]
[1.00039,1.00077]
[1.00039,1.00077]
[1.00038,1.00076]
[1.00038,1.00076]
[1.00038,1.00076]
[1.00038,1.00076]
[1.00038,1.00076]
[1.00038,1.00076]
[1.00038,1.00075]
[1.00037,1.00075]
[1.00037,1.00075]
[1.00037,1.00074]
[1.00037,1.00074]
[1.00037,1.00073]
[1.00037,1.00073]
[1.00036,1.00073]
[1.00036,1.00072]
[1.00036,1.00072]
[1.00036,1.00072]
[1.00036,1.00071]
[1.00035,1.00071]
[1.00035,1.00071]
[1.00035,1.0007]
[1.00035,1.00069]
[1.00034,1.00069]
[1.00034,1.00068]
[1.00033,1.00066]
[1.00032,1.00063]
[1.0003,1.0006]
[1.00027,1.00053]
[1.00022,1.00045]
[1.00022,1.00044]
[1.00022,1.00044]
[1.00022,1.00044]
[1.00022,1.00044]
[1.00022,1.00044]
[1.00022,1.00044]
[1.00022,1.00043]
[1.00022,1.00043]
[1.00022,1.00043]
[1.00021,1.00043]
[1.00021,1.00043]
[1.00021,1.00043]
[1.00021,1.00042]
[1.00021,1.00043]
[1.00021,1.00042]
[1.00021,1.00042]
[1.00021,1.00042]
[1.00021,1.00042]
[1.00021,1.00042]
[1.00021,1.00042]
[1.00021,1.00041]
[1.00021,1.00041]
[1.00021,1.00041]
[1.0002,1.00041]
[1.0002,1.00041]
[1.0002,1.0004]
[1.0002,1.0004]
[1.0002,1.0004]
[1.0002,1.0004]
[1.0002,1.0004]
[1.0002,1.00039]
[1.00019,1.00039]
[1.00019,1.00038]
[1.00019,1.00038]
[1.00018,1.00036]
[1.00018,1.00036]
[1.00018,1.00035]
[1.00018,1.00035]
[1.00018,1.00035]
[1.00017,1.00035]
[1.00017,1.00034]
[1.00017,1.00033]
[1.00016,1.00031]
[1.00014,1.00027]
[1.00014,1.00027]
[1.00013,1.00027]
[1.00013,1.00027]
[1.00013,1.00026]
[1.00012,1.00024]
[1.0001,1.00021]
[1.00005,1.0001]
[1.00005,1.0001]
[1.00005,1.0001]
[1.00005,1.0001]
[1.00005,1.00009]
[1.00003,1.00007]
[1.00003,1.00007]
[1.00003,1.00007]
[1.00003,1.00007]
[1.00003,1.00007]
[1.00003,1.00007]
[1.00003,1.00007]
[1.00003,1.00007]
[1.00003,1.00007]
[1.00003,1.00007]
[1.00003,1.00006]
[1.00003,1.00006]
[1.00003,1.00006]
[1.00003,1.00006]
